dataset,platform,platform_fine
Adams_Kaminski_2020,10x,10x_3p_v2
Chen_Zhang_2020,10x,10x_3p_v2
Goveia_Carmeliet_2020,10x,10x_3p_v2
Guo_Zhang_2018,Smart-seq2,Smart-seq2
Habermann_Kropski_2020,10x,10x_5p
He_Fan_2021,10x,10x_3p_v2
Kim_Lee_2020,10x,10x_3p_v2
Lambrechts_Thienpont_2018_6149v1,10x,10x_3p_v1
Lambrechts_Thienpont_2018_6149v2,10x,10x_3p_v2
Lambrechts_Thienpont_2018_6653,10x,10x_3p_v2
Laughney_Massague_2020,10x,10x_3p_v2
Madissoon_Meyer_2020,10x,10x_3p_v2
Maier_Merad_2020,10x,10x_3p_v2
Maynard_Bivona_2020,Smart-seq2,Smart-seq2
Mayr_Schiller_2020,DropSeq,DropSeq
Reyfman_Misharin_2018,10x,10x_3p_v2
Travaglini_Krasnow_2020,Smart-seq2,Smart-seq2
UKIM-V,BD-Rhapsody,BD-Rhapsody
Vieira_Teichmann_2019,DropSeq,DropSeq
Wu_Zhou_2021,Singleron,Singleron
Zilionis_Klein_2019,InDrop,InDrop
