# source https://www.sinobiological.com/research/immune-checkpoint/immune-checkpoint-targets,
gene_symbol,type
PVR,co_stimulatory
CD226,co_stimulatory
TNFRSF9,co_stimulatory
TNFSF9,co_stimulatory
CD40,co_stimulatory
CD40LG,co_stimulatory
TNFRSF4,co_stimulatory
TNFSF4,co_stimulatory
CD27,co_stimulatory
TNFRSF14,co_stimulatory
TNFSF14,co_stimulatory
CD70,co_stimulatory
CD28,co_stimulatory
CD80,co_stimulatory
CD86,co_stimulatory
TNFRSF18,co_stimulatory
TNFSF18,co_stimulatory
ICOS,co_stimulatory
ICOSLG,co_stimulatory
PDCD1,co_inhibitory
CD274,co_inhibitory
PDCD1LG2,co_inhibitory
CTLA4,co_inhibitory
CD80,co_inhibitory
CD86,co_inhibitory
CD276,co_inhibitory
VTCN1,co_inhibitory
VSIR,co_inhibitory
TNFRSF14,co_inhibitory
TNFSF14,co_inhibitory
BTLA,co_inhibitory
CD160,co_inhibitory
LAG3,co_inhibitory
CEACAM1,co_inhibitory
IDO1,co_inhibitory
LGALS9,co_inhibitory
HAVCR2,co_inhibitory
CD244,co_inhibitory
SIRPA,co_inhibitory
CD47,co_inhibitory
CD48,co_inhibitory
TIGIT,co_inhibitory
PVR,co_inhibitory
